NO,영업리스트 수령일,본사담당자,지역,발주처,구분,사업명,제품명, 면적 , 금액 , 영업딜러 
572,2024-03-12,남기영 팀장,서울,,지자체, 서부공원 여가 센터 배드민턴 4면,MD 25,,,
573,2023-10-17,이상원 부장,서울,강동구,지자체,강동구 동명 축구장 인조잔디 설치,MD 55,"6,500","399,750,000", 장동훈(정상아) 
574,2023-11-13,김봉진 실장,서울,노원구,지자체,불암산체육공원 축구장 교체공사,MD 55,"8,000","492,000,000", 김봉진 실장님 
575,2023-09-12,남기영 팀장,서울,동대문구,학교, 청량중학교 인조잔디조성,MD 55,"4,309","265,003,500",
576,2023-10-30,남기영 팀장,서울,마포구,지자체, 망원유수지 파크골프장 조성 및 체육시설 개선사업 실시설계,MD 55,"2,500","153,750,000",
577,2024-01-30,이영만 이사,서울,마포구,지자체,주민편익시설공사비,,,,
578,2024-03-11,김봉진 실장,서울,용산구,지자체, 용산구청 테니스장 6면,MD 25,,,
579,2023-09-12,남기영 팀장,서울,은펑구,지자체, 갈현지구 테니스장 3면,MD 25,"1,800","69,660,000", 장만순 대표 
580,2023-10-24,이영만 이사,세종,세종시,지자체,"부강면 야구장, 미호강 축구장 등 침수 개보수 - 24년(상)",MD 55,"48,651","2,992,036,500",
581,2023-10-24,남기영 팀장,울산,울산교육청,학교,남목초등학교 운동장 재구조화,MD 55,"4,550","279,825,000",
582,2023-10-16,이상원 부장,울산,울산시,지자체,문수야구장 시설개선,MD 55,"13,000","799,500,000",
583,2023-11-15,이상원 부장,울산,울산시,지자체,울산 상개 복합스포츠센터 조성,,,,
584,2023-11-15,이상원 부장,울산,울산시,지자체,울산 중구축구장 조성사업,MD 55,,,
585,2024-02-01,이상원 부장,울산,울산시,지자체,강동 관광단지 파크 골프장 조성,,,,
586,2024-02-01,이상원 부장,울산,울산시,지자체,문수테니스장 시설개선 사업,,,,
587,2024-06-07,,울산,본청,지자체,체육시설 개선 및 확충 사업 - 미포구장 시설 개보수,,,"1,100,000,000",
588,2024-06-07,,울산,본청,지자체,체육시설 개선 및 확충 사업 - 파크골프장 조성,,,"500,000,000",
589,2024-06-07,,울산,본청,지자체,체육시설 개선 및 확충 사업 - 구 군 파크골프장 조성 지원,,,"3,000,000,000",
590,2024-06-07,,울산,본청,지자체,체육시설 개선 및 확충 사업 - 범서 구영 다목적 실내배드민턴장국민체육센터 건립 ,,,"967,000,000",
591,2024-06-07,,울산,본청,지자체,체육시설 개선 및 확충 사업 - 남구 궁도장 건립,,,"2,100,000,000",
592,2024-06-07,,울산,본청,지자체,공공체육시설 개보수 지원 - 향교 게이트볼장 노후 시설 개선공사,,,"60,000,000",
593,2024-06-07,,울산,본청,지자체,공공체육시설 개보수 지원 - 달천운동장 시설개선사업,,,"210,000,000",
594,2024-06-07,,울산,본청,지자체,"공공체육시설 개보수 지원 -문수야구장 그라운드 인조잔디
 교체",,,"500,000,000",
595,2024-06-07,,울산,본청,지자체,"전국생활체육대축전 준비 운영 - 전국생활체육대축전 시설
 개·보수",,,"20,000,000",
596,2024-06-07,,울산,본청,지자체,"전국생활체육대축전 준비 운영 - 전국생활체육대축전 시설 
개·보수(구 군)",,,"113,000,000",
597,2024-06-07,,울산,남구,지자체,생활체육 시설물 관리 - 체육시설물 보수 ,,,"150,000,000",
598,2024-06-07,,울산,남구,지자체,생활체육 시설물 관리 - 양궁장 등 체육시설내 조경정비,,,"30,000,000",
599,2024-06-07,,울산,남구,지자체,도시관리공단 전출금 - 체육시설물 자본전출금 ,,,"3,400,000",
600,2024-06-07,,울산,남구,지자체,"공원 조성 및 관리 - 공원녹지 시설물 유지보수 - 체육시설물 교체 및 설치 3,000,000원*20개",,,"60,000,000",
601,2024-06-07,,울산,동구,지자체,제2 파크골프장 조성,,,"1,500,000,000",
602,2024-06-07,,울산,동구,지자체,동부회관 공공체육서설 전환,,,"1,500,000,000",
603,2024-06-07,,울산,동구,지자체,체육시설 조성 및 관리 - 공공체육시설 관리 - 공공체육시설물정비(16개소),,,"100,000,000",
604,2024-06-07,,울산,동구,지자체,"도시공원 및 녹지정비사업 - 체육시설물 설치 및 정비
3,000,000원*3점",,,"9,000,000",
605,2024-06-07,,울산,울주군,지자체,운동장 인조잔디 교체공사,,,"1,000,000,000",
606,2024-06-07,,울산,울주군,지자체,울주 파크골프장 조성사업 설계,,,"75,000,000",
607,2024-06-07,,울산,울주군,지자체,언양 체육공원 조성사업 실시설계,,,"1,280,000,000",
608,2024-06-07,,울산,울주군,지자체,범서 구영 실내배드민턴장 건립공사,,,"3,500,000,000",
609,2024-06-07,,울산,울주군,지자체,구영운동장 조성사업,,,"4,731,000,000",
610,2024-06-07,,울산,울주군,지자체,생활체육시설 설치 - 웅촌 덕현마을 체육시설 조성공사,,,"450,000,000",
611,2023-02-03,이상원 부장,울산,울주군,지자체,언양체육공원 조성사업,MD 55,"8,000","492,000,000",
612,2024-06-07,,울산,울주군,,생활체육시설 유지 관리 - 체육시설 잔디정비공사 ,,,"200,000,000",
613,2024-06-07,,울산,울주군,,생활체육시설 유지 관리 - 도시계획시설(체육시설)사업 실시계획인가및 준공용역,,,"20,000,000",
614,2024-06-07,,울산,울주군,,생활체육시설 유지 관리 - 생활체육시설 긴급 유지보수공사,,,"500,000,000",
615,2024-06-07,,울산,울주군,,범서 중촌 누리길 조성사업 - 범서 중촌 누리길 조성사업 공사비,,,"1,000,000,000",
616,2024-06-07,,울산,중구,,체육시설 수리 보수보강,,,"200,000,000",
617,2024-06-07,,울산,중구,,달천운동장 시설개선사업,,,"700,000,000",
618,2024-06-07,,울산,중구,,국민체육센터 시설개선사업,,,"550,000,000",
619,2024-06-07,,부산,본청,지자체,공공.생활 체육시설 확충 - 공공용지 활용 생활체육시설 확충지원사업,,,"6,000,000,000",
620,2024-06-07,,부산,본청,지자체,공공.생활 체육시설 확충 - 수영구 호암골 체육공원 정비(주민참여예산),,,"20,000,000",
621,2024-06-07,,부산,본청,지자체,이용시설 유지관리 - 파크골프시설 유지보수,,,"495,000,000",
622,2024-06-07,,부산,강서구,지자체,"체육시설물 설치 및 관리 - 야외체육시설 신규설치 15,000,000원*4개소",,,"60,000,000",
623,2024-06-07,,부산,강서구,지자체,"체육시설물 설치 및 관리 - 생활체육시설 보강
 8,300,000원*15개소",,,"124,500,000",
624,2024-06-07,,부산,금정구,지자체,동네체육시설 확충 보수 및 유지관리,,,"300,000,000",
625,2024-06-07,,부산,기장군,지자체,기장-현대차 드림 볼파크 야구장 인조잔디 교체공사,,,"500,000,000",
626,2024-06-07,,부산,기장군,지자체,기장읍 생활체육공원 조성사업,,,"300,000,000",
627,2024-06-07,,부산,기장군,지자체,기장군 테니스 경기장 도시관리계획 결정용역,,,"220,000,000",
628,2024-06-07,,부산,기장군,지자체,동네체육시설 설치,,,"180,000,000",
629,2024-06-07,,부산,남구,지자체,동네체육시설 유지 및 관리 - 체육시설 및 부대편의시설 보수(보강),,,"100,000,000",
630,2024-06-07,,부산,동구,지자체,군집체육시설 바닥포장(5개소),,,"100,000,000",
631,2024-06-07,,부산,동구,지자체,체육시설 확충 및 관리 - 복합스포츠단지 조성 - 기본 및 실시설계 용역비,,,"660,000,000",
632,2024-06-07,,부산,동구,지자체,"동네체육시설 관리(시군구전환사업)  - 동네·산악체육시설 보수·보강 15,000,000원*12월",,,"180,000,000",
633,2024-06-07,,부산,동래구,지자체,산림보호 - 산림 내 체육·편의시설 설치 및 유지보수,,,"30,000,000",
634,2024-06-07,,부산,동래구,지자체,온천천 편의시설물 설치 및 정비 - 군집체육시설 바닥포장(5개소),,,"100,000,000",
635,2024-06-07,,부산,부산진구,지자체,생활체육 확대 보급 - 전포동 풋살장 조성,,,"60,000,000",
636,2024-06-07,,부산,부산진구,지자체,동네체육시설 확충·정비 - 동네체육시설 개·보수 및 설치 - 노후시설 정비·보수,,,"100,000,000",
637,2024-06-07,,부산,사상구,지자체,엄궁유수지 복합문화체육센터 건립,,,"3,000,000,000",
638,2024-06-07,,부산,사상구,지자체,체육시설물 유지 보수 - 소규모 동네체육시설 유지 보강 ,,,"88,500,000",
639,2024-06-07,,부산,사상구,지자체,체육시설물 유지 보수 - 소규모 동네체육시설 신규 및 교체 설치 ,,,"60,000,000",
640,2024-06-07,,부산,사하구,지자체,다대5지구 동네체육시설 환경개선 및 운동기구 정비,,,"50,000,000",
641,2024-06-07,,부산,사하구,지자체,다대포 체육시설 유지보수,,,"40,000,000",
642,2024-06-07,,부산,사하구,지자체,동네체육시설 유지보수,,,"300,000,000",
643,2024-06-07,,부산,사하구,지자체,강변환경공단 파크골프장 관리 - 강변환경공단 파크골프장 시설유지보수 ,,,"40,000,000",
644,2024-06-07,,부산,사하구,지자체,을숙도 체육시설 유지 및 보수 - 을숙도 축구장 부지 토지매입대금(2차연도분) ,,,"321,000,000",
645,2024-06-07,,부산,수영구,지자체,"체육시설 확충 및 생활체육 확대보급 - 동네,산지 체육시설 보수·보강",,,"48,495,000",
646,2024-06-07,,부산,수영구,지자체,"구민친화형 생활체육시설 설치 - 신규 운동기구 등 
2,500,000원*24대",,,"60,000,000",
647,2024-06-07,,부산,연제구,지자체,공공부지 활용 생활체육시설 조성,,,"52,000,000",
648,2024-06-07,,부산,연제구,지자체,온천천시민공원 시설물 관리 - 체육공간 바닥 포장 정비,,,"50,000,000",
649,2024-06-07,,부산,영도구,지자체,공공체육시설 운영관리 - 공공체육시설 유지관리 ,,,"60,000,000",
650,2024-06-07,,부산,중구,지자체,동네체육시설 관리 - 동네체육시설 정비 ,,,"60,000,000",
651,2024-06-07,,부산,진구,지자체,전포동 풋살장 조성,,,"60,000,000",
652,2024-06-07,,부산,진구,지자체,당감동 복합국민체육센터 건립,,,"2,828,000,000",
653,2024-06-07,,부산,해운대구,지자체,공공 체육시설관리 - 공공체육시설 유지관리보수 등,,,"70,000,000",
654,2024-06-07,,부산,해운대구,지자체,산림내 체육시설물 관리 - 산림내 체육(편의)시설 정비,,,"190,000,000",
655,2024-05-09,이상원 부장,부산,부산대학교,학교,부산대학교 인조잔디,EG 55,"8,100","514,350,000",
656,2024-05-09,이상원 부장,부산,부산해양대학교,학교,부산해양대학교 인조잔디,EG 55,, - ,
657,2023-11-21,김봉진 실장,부산,부산건국중학교,학교,건국중학교 인조잔디 설치,MD 55,"1,500","92,250,000", 김봉진 실장님 
658,2023-11-28,이상원 부장,부산,예문여자고등학교,학교, 예문여자고등학교 아침체인지 인조잔디 운동장 공사 사업,MD 55,"2,100","129,150,000",
659,2024-06-07,,인천,본청,지자체,계양경기장 파크골프장 등 시설증설 공사 - 계양경기장 파크골프장 등 시설증설 공사 공사비 ,,,"673,000,000",
660,2024-06-07,,인천,본청,지자체,인천아시아드주경기장 파크골프장 조성사업 공사비,,,"1,216,000,000",
661,2024-06-07,,인천,본청,지자체,남동경기장 파크골프장 조성 - 남동경기장 파크골프장 조성 공사비,,,"886,000,000",
662,2023-09-12,남기영 팀장,인천,강화군,지자체, 강화군 종합스포츠타운 조성,,,,
663,2024-06-07,,인천,강화군,지자체,포6중대 풋살장 조성공사,,,"350,000,000",
664,2024-06-07,,인천,강화군,지자체,강화군 국민체육센터 노후시설 개선공사,,,"650,000,000",
665,2024-06-07,,인천,강화군,지자체,강화군 종합스포츠타운 조성사업,,,"1,000,000,000",
666,2024-06-07,,인천,강화군,지자체,서도면 근린생활형 다목적 체육관 건립사업,,,"700,000,000",
667,2024-06-07,,인천,강화군,지자체,초지1리 게이트볼장 수리,,,"38,000,000",
668,2024-06-07,,인천,강화군,지자체,하점면 망월3리 전천후게이트볼장 인조잔디 정비공사,,,"50,000,000",
669,2024-06-07,,인천,강화군,지자체,송해면 양오2리 게이트볼장 인조잔디 정비공사,,,"45,000,000",
670,2024-06-07,,인천,강화군,지자체,교동면 난정2리 게이트볼장 정비공사,,,"22,000,000",
671,2024-02-01,이상원 부장,인천,계양구,지자체,"계양복합체육단지 (축구장 , 그라운드골프장)",,,,
672,2023-11-29,남기영 팀장,인천,남동구,지자체, 남동구 종합체육공원 조성,MD 55,,,
673,2024-06-07,,인천,남동구,지자체,남동경기장 주변 종합체육시설 조성(부지매입),,,"2,740,000,000",
674,2024-06-07,,인천,남동구,지자체,아단배드민턴장 노후시설 정비,,,"500,000,000",
675,2024-06-07,,인천,남동구,지자체,남호정 노후시설 정비,,,"300,000,000",
676,2023-10-24,남기영 팀장,인천,중구청,지자체,인천 1부두 여객터미널 풋살장 게이트볼장,MD 55,"1,000","61,500,000",
677,2024-06-07,,인천,중구청,지자체,용유 다목적 게이트볼장 조성,,,"50,000,000",
678,2024-06-07,,인천,중구청,지자체,관내 체육시설 유지보수,,,"15,000,000",
679,2024-06-07,,인천,중구청,지자체,미단시티 체육공원 조성사업 - 실시 설계 용역,,,"280,000,000",
680,2024-06-07,,인천,연수구,지자체,연수구청소년수련관 건립,,,"5,356,000,000",
681,2024-06-07,,인천,연수구,지자체,연수체육공원 풋살경기장 정비,,,"18,000,000",
682,2024-06-07,,광주,광산구,지자체,용등공원 축구장 시설개선,,,"499,500,000",
683,2024-06-07,,광주,남구,지자체,진월운동장 조성,,,"268,695,000",
684,2024-06-07,,광주,남구,지자체,동네 체육시설 관리 - 동네체육시설 설치 및 교체,,,"100,000,000",
685,2024-06-07,,광주,남구,지자체,공공체육시설관리 - 공공체육시설 확충 및 유지보수,,,"47,000,000",
686,2024-06-07,,광주,남구,지자체,공공체육시설관리 - 승촌파크골프장 정비사업,,,"360,000,000",
687,2024-06-07,,광주,남구,지자체,공공체육시설관리 - 봉선테니스장 기능보강 사업(22년 특별교부금 집행잔액 재투자),,,"19,389,000",
688,2024-06-07,,광주,남구,지자체,남구국민체육센터 건립,,,"1,700,000,000",
689,2024-06-07,,광주,북구,지자체,노인건강체육시설조성,,,"300,000,000",
690,2024-06-07,,광주,북구,지자체,두암체육공원시설개선사업,,,"300,000,000",
691,2024-06-07,,광주,북구,지자체,운암동복합체육센터건립,,,"1,069,000,000",
692,2024-06-07,,광주,북구,지자체,생활체육시설확충및관리 - 마을단위체육시설 조성,,,"16,000,000",
693,2024-06-07,,광주,북구,지자체,공공체육시설관리 - 공공체육시설확충및유지보수,,,"60,000,000",
694,2024-06-07,,광주,북구,지자체,어린이공원및소공원관리 - 북구공원내체육시설추가설치(주민참여예산) ,,,"20,000,000",
695,2024-06-07,,광주,서구,지자체,생활체육시설설치및개보수,,,"130,000,000",
696,2024-06-07,,광주,중구,지자체,미단시터 체육공원 조성사업 설계용역,,,"280,000,000",
697,2024-06-07,,전남,본청,지자체,종합체육시설 개보수 및 관리-중대재해 관련 도 체육시설 보수공사,,,"200,000,000",
698,2024-06-07,,전남,본청,지자체,지방체육시설 지원(전환사업)-도 종합체육시설 노후 개보수,,,"497,000,000",
699,2024-06-07,,전남,본청,지자체,지방체육시설 지원(전환사업) - 지방체육시설 지원,,,"15,460,000,000",
700,2024-06-07,,전남,본청,지자체,노인건강체육시설 지원(전환사업) - 노인건강체육시설 지원,,,"5,691,000,000",
701,2024-06-07,,전남,본청,지자체,운동장생활체육시설 지원(전환사업) - 운동장생활체육시설 지원,,,"2,080,000,000",
702,2024-06-07,,전남,본청,지자체,생활체육공원조성 지원(전환사업) - 생활체육공원조성 지원,,,"160,000,000",
703,2024-06-07,,전남,본청,지자체,레저스포츠시설 지원(전환사업) - 레저스포츠시설 지원,,,"540,000,000",
704,2024-06-07,,전남,본청,지자체,지방체육시설 확충 - 소규모 생활체육시설 설치,,,"150,000,000",
705,2024-06-07,,전남,본청,지자체,지방체육시설 확충 - 제64회 전라남도체육대회 경기시설 개보수지원(장성),,,"850,000,000",
706,2024-06-07,,전남,본청,지자체,지방체육시설 확충 - 제36회 전라남도생활체육대축전 개최지 정비,,,"80,000,000",
707,2024-06-07,,전남,본청,지자체,"지방체육시설 확충 - 목포시 상동,삼향동,옥암동 일원 공동체육시설 설치사업",,,"20,000,000",
708,2024-06-07,,전남,본청,지자체,지방체육시설 확충 - 목포시 연산동 서해 파크 골프장 시설개선 사업,,,"40,000,000",
709,2024-06-07,,전남,본청,지자체,지방체육시설 확충 - 목포시 용담동 게이트볼장 시설개선사업,,,"30,000,000",
710,2024-06-07,,전남,본청,지자체,지방체육시설 확충 - 목포시 부주산파크골프장 시설개선사업,,,"20,000,000",
711,2024-06-07,,전남,본청,지자체,지방체육시설 확충 - 목포시 파크골프장 시설개선사업,,,"30,000,000",
712,2024-06-07,,전남,본청,지자체,지방체육시설 확충 - 순천시 해룡면 공공체육시설 시설개선사업,,,"50,000,000",
713,2024-06-07,,전남,본청,지자체,지방체육시설 확충 - 나주시 노안면 호우 피해 공동체육시설 시설개선사업,,,"15,000,000",
714,2024-06-07,,전남,본청,지자체,지방체육시설 확충 - 광양시 광양읍 파크골프장 시설개선사업,,,"30,000,000",
715,2024-06-07,,전남,본청,지자체,지방체육시설 확충 - 광양시 중마동 공동체육시설 설치사업,,,"30,000,000",
716,2024-06-07,,전남,본청,지자체,지방체육시설 확충 - 광양시 태인동 그라운드골프장 시설개선사업,,,"50,000,000",
717,2024-06-07,,전남,본청,지자체,지방체육시설 확충 - 구례군 마산면 체육시설 설치사업,,,"30,000,000",
718,2024-06-07,,전남,본청,지자체,지방체육시설 확충 - 완도군 노화읍 공동체육시설 설치사업,,,"40,000,000",
719,2024-06-07,,전남,본청,지자체,지방체육시설 확충 - 장흥군 장평면 장평체육공원 시설개선사업,,,"30,000,000",
720,2024-06-07,,전남,본청,지자체,지방체육시설 확충 - 강진군 병영면 공공체육시설 설치사업,,,"20,000,000",
721,2024-06-07,,전남,본청,지자체,지방체육시설 확충 - 강진군 강진읍 노인복지회관 체육시설 설치사업,,,"15,000,000",
722,2024-06-07,,전남,본청,지자체,지방체육시설 확충 - 영암군 영암음 시종면 파크골프장 시설개선사업,,,"30,000,000",
723,2024-06-07,,전남,본청,지자체,공공체육시설 개보수 지원 - 공공체육시설 개보수 지원,,,"2,358,000,000",
724,2024-06-07,,전남,강진군,지자체,미량면 원포축구장 인조잔디 보수,,,"50,000,000",
725,2024-06-07,,전남,강진군,지자체,강진군축구전용경기장조성,,,"2,911,968,000",
726,2024-06-07,,전남,고흥군,지자체,풍양파크골프장 조성,,,"1,500,000,000",
727,2024-06-07,,전남,고흥군,지자체,과역파크골프장 조성,,,"1,000,000,000",
728,2024-06-07,,전남,고흥군,지자체,녹동신항 해양스포츠조성,,,"420,000,000",
729,2024-06-07,,전남,고흥군,지자체,남양 희망풋살장 조성,,,"30,000,000",
730,2024-06-07,,전남,고흥군,지자체,도화 베이스볼 전용구장 조성 기본계획,,,"50,000,000",
731,2024-06-07,,전남,고흥군,지자체,드론체험놀이터 조성 공시비,,,"1,090,000,000",
732,2023-09-22,남기영 팀장,전남,곡성군,지자체,곡성군 학교복합시설 테니스장 2면(곡성중),MD 25,"2,080","80,496,000",
733,2024-06-07,,전남,고흥군,지자체,문화운동장 인조잔디 보수,,,"20,000,000",
734,2024-06-07,,전남,고흥군,지자체,옥과권 파크골프장 조성사업,,,"300,000,000",
735,2024-06-07,,전남,광양군,지자체,광양읍권 종합 스포츠타운 조성 사업(부지매입),,,"2,100,000,000",
736,2024-06-07,,전남,광양군,지자체,광양 국민체육센터 개보수 공사,,,"100,000,000",
737,2024-06-07,,전남,광양군,지자체,국민체육센터 증축공사,,,"910,000,000",
738,2024-06-07,,전남,광양군,지자체,동부권 파크골프장 조성사업,,,"697,000,000",
739,2024-06-07,,전남,광양군,지자체,동천 파크골프장 추가 조성사업,,,"300,000,000",
740,2024-06-07,,전남,광양군,지자체,마동 테니스장 환경 개선 사업,,,"50,000,000",
741,2024-06-07,,전남,광양군,지자체,광영 그라운드골프장 환경 개선 사업,,,"100,000,000",
742,2024-06-07,,전남,광양군,지자체,축구전용구장 인조잔디 설치(배수구),,,"5,040,000",
743,2024-06-07,,전남,광양군,지자체,동네체육시설물 관리 - 동네체육시설물 유지보수 ,,,"34,000,000",
744,2024-06-07,,전남,광양군,지자체,동네체육시설 관리 - 동네체육시설 유지보수비 ,,,"20,000,000",
745,2024-06-07,,전남,광양군,지자체,도로 및 체육시설관리 - 공원 환경 정비 및 동네 체육시설 설치 ,,,"9,000,000",
746,2024-06-07,,전남,광양군,지자체,진상면 전천후 게이트볼장 건립공사,,,"980,000,000",
747,2024-06-07,,전남,광양군,지자체,광영동 전천후 실내게이트볼장 건립공사,,,"980,000,000",
748,2024-06-07,,전남,구례군,지자체,지리산 생터공원 파크골프장 조성사업,,,"600,000,000",
749,2024-06-07,,전남,구례군,지자체,구례 골프연습장 건립사업,,,"1,330,000,000",
750,2024-06-07,,전남,구례군,지자체,구례 웰니스 복합센터 건립,,,"2,304,000,000",
751,2024-06-07,,전남,나주시,지자체,빛가람초등학교 운동장 인조잔디 조성,,,"50,000,000",
752,2024-06-07,,전남,나주시,지자체,빛가람중학교 운동장 인조잔디 조성,,,"40,000,000",
753,2024-06-07,,전남,나주시,지자체,종합스포츠파크 관리 - 종합운동장 잔디교체,,,"150,000,000",
754,2024-06-07,,전남,나주시,지자체,스포츠파크 인조잔디 충진제 구입,,,"2,000,000",
755,2024-06-07,,전남,나주시,지자체,남평 지석천 파크골프장 조성,,,"1,200,000,000",
756,2024-06-07,,전남,나주시,지자체,안창동 파크골프장 조성,,,"1,200,000,000",
757,2024-06-07,,전남,나주시,지자체,보조축구장 잔디브러시 용역,,,"2,000,000",
